ticker,name,sector,delisting_date,last_price,peak_price,spread_pct,slippage_bps
5EI.F,HARBOR CUSTOM DEV.,Unknown,2023-05-04,5.89,79.468,0.5,25
5EI0.F,HARBOUR CU.DEV.C.C.PREF.A,Unknown,2024-01-03,0.776,278.61,0.5,25
5J8.F,POLISHED.COM DL-0001,Unknown,2023-12-19,2.068,590.505,0.5,25
5JK.F,ISR IMMUNE SYS.REGUL.HLDG,Unknown,2023-05-31,0.108,1.44,0.5,25
5JS1.F,AGATOS S.P.A.,Unknown,2025-07-03,0.22,1.821,0.5,25
5JU.F,KIROMIC BIOPHARMA INC.,Unknown,2023-05-11,3.629,294.229,0.5,25
5MC1.F,Leap Therapeutics Inc,Unknown,2023-06-20,6.134,80.683,0.5,25
5PN.F,FAT BRANDS INC.A DL-0001,Unknown,2026-02-26,0.152,8.723,0.5,25
5QJ.F,Maxeon Solar Technologies Ltd,Unknown,2024-12-06,6.947,3493.23,0.5,25
5QV.F,CITY OFFICE REIT DL -01,Unknown,2026-01-09,5.743,14.499,0.5,25
5S0.F,THINKIFIC LABS INC.,Unknown,2025-06-26,1.301,12.953,0.5,25
5TC.F,TrueCar Inc,Unknown,2026-01-23,1.861,12.131,0.5,25
5Y00.F,KUAISHOU TECH.ADR/1/5 B,Unknown,2023-02-10,1.405,4.242,0.5,25
5Z9.F,TELUS INTL SB VT.WH.ISS.,Unknown,2025-11-04,3.616,33.711,0.5,25
5ZL.F,LAZYDAYS HOLDINGS INC.,Unknown,2025-09-11,5.816,646.697,0.5,25
5ZZ.F,CONTEXTLOGIC DL -0001,Unknown,2023-06-09,6.623,784.722,0.5,25
64B.F,BERKELEY LIGHTS DL-00005,Unknown,2023-10-02,0.92,89.512,0.5,25
64V.F,BBTV HOLDINGS INC.,Unknown,2024-01-11,0.238,5.616,0.5,25
65I.F,PHILLY SHIPYARD ASA NK 10,Unknown,2025-09-16,0.318,6.811,0.5,25
65Z.F,HOME REIT PLC LS -01,Unknown,2023-01-03,0.379,1.518,0.5,25
67E.F,WALLBOX N.V. CL.A EO-12,Unknown,2025-09-02,3.167,316.439,0.5,25
698.F,ACHILLES THERAP.SP.ADS/1,Unknown,2025-04-01,1.324,13.484,0.5,25
69C_old.F,Cara Therapeutics Inc,Unknown,2025-02-28,4.818,290.704,0.5,25
69U.F,PERMASCAND TOP HOLDING,Unknown,2024-02-29,1.476,4.059,0.5,25
6BUA.F,BURN.ROCK BIOT. SP.ADR/A,Unknown,2024-07-12,2.21,30.639,0.5,25
6CU.F,DANIMER SCIENTIFIC,Unknown,2025-01-13,8.505,248.774,0.5,25
6DV.F,LOGISTRI FASTIGHETS AB,Unknown,2025-08-29,1.47,14.959,0.5,25
6FA.F,SEMLER SCIENTIFIC DL-001,Unknown,2026-01-20,17.807,127.083,0.5,25
6KB.F,KINNATE BIOPHARMA -0001,Unknown,2024-04-03,2.426,38.07,0.5,25
6L0.F,RUBELLITE ENERGY INC.,Unknown,2025-01-02,1.298,3.766,0.5,25
6LQ.F,HIGH ARCTIC EN. SVCS,Unknown,2024-10-15,0.704,4.898,0.5,25
6MB.F,Metro Bank PLC,Unknown,2023-05-18,1.02,45.675,0.5,25
6NNA.F,GOLDEN INDEP. MINING CORP,Unknown,2024-02-01,0.512,6.778,0.5,25
6OU.F,GROUPE BERKEM EO 225,Unknown,2025-01-13,2.811,10.221,0.5,25
6QP.F,RE:NEWCELL AB,Unknown,2024-03-05,0.455,28.883,0.5,25
6QT.F,MDF COMMERCE INC.,Unknown,2024-05-22,3.823,10.924,0.5,25
6SD.F,SHELF DRILLING LTD,Unknown,2025-11-27,1.48,4.082,0.5,25
6SS.F,ServiceSource International Inc,Unknown,2022-07-20,1.436,3.752,0.5,25
6UG.F,DIGIZUITE AS DK 1,Unknown,2023-09-07,0.713,1.967,0.5,25
