Code,Name,Isin,Country,Exchange,Currency,Type
M6YA,Meyer Burger Technology AG,CH1357065999,Germany,XETRA,EUR,Common Stock
M8G,Media and Games Invest PLC,MT0000580101,Germany,XETRA,EUR,Common Stock
M8H,MBH Corporation PLC,GB00BF1GH114,Germany,XETRA,EUR,Common Stock
MA1,MAX 21 AG,DE000A0D88T9,Germany,XETRA,EUR,Common Stock
MAN,MAN SE,DE0005937007,Germany,XETRA,EUR,Common Stock
MAN3,MAN SE,DE0005937031,Germany,XETRA,EUR,Common Stock
MBC,MyBucks S.A,LU1404975507,Germany,XETRA,EUR,Common Stock
MCD,Mallinckrodt plc,US5801351017,Germany,XETRA,EUR,Common Stock
MCP,Microchip Technology Incorporated,US5950171042,Germany,XETRA,EUR,Common Stock
MDG1,Medigene AG,DE000A40ESG2,Germany,XETRA,EUR,Common Stock
MDN,Medion AG,DE0006605009,Germany,XETRA,EUR,Common Stock
MF6,MagForce AG,DE000A0HGQF5,Germany,XETRA,EUR,Common Stock
MGNK,Mologen AG,DE000A2LQ900,Germany,XETRA,EUR,Common Stock
MOR,Morphosys AG O.N.,DE0006632003,Germany,XETRA,EUR,Common Stock
MPN,Marathon Petroleum Corporation,US56585A1025,Germany,XETRA,EUR,Common Stock
MSN,Marsh & McLennan Companies Inc,US5717481023,Germany,XETRA,EUR,Common Stock
MTT,Mattel Inc,US5770811025,Germany,XETRA,EUR,Common Stock
MVIN,Microvision Inc,US5949603048,Germany,XETRA,EUR,Common Stock
MWB,mwb fairtrade Wertpapierhandelsbank AG,DE0006656101,Germany,XETRA,EUR,Common Stock
MYRK,MyHammer Holding AG,DE000A11QWW6,Germany,XETRA,EUR,Common Stock
N2F,NanoFocus AG,DE0005400667,Germany,XETRA,EUR,Common Stock
N4G,The Naga Group AG,DE000A161NR7,Germany,XETRA,EUR,Common Stock
N7G,Nanogate AG,DE000A0JKHC9,Germany,XETRA,EUR,Common Stock
N7T,Nutrien Ltd,CA67077M1086,Germany,XETRA,EUR,Common Stock
NEF,Neste Corporation,FI0009013296,Germany,XETRA,EUR,Common Stock
NESM,Nestlé S.A,CH0038863350,Germany,XETRA,EUR,Common Stock
NFS,Norfolk Southern Corp.,US6558441084,Germany,XETRA,EUR,Common Stock
NGLB,Anglo American plc,GB00B1XZS820,Germany,XETRA,EUR,Common Stock
NIIN,niiio finance group AG,DE000A2G8332,Germany,XETRA,EUR,Common Stock
NJB,NJB,SE0015988019,Germany,XETRA,EUR,Common Stock
NMI,Aladdin Healthcare Technologies SE,DE000A12ULL2,Germany,XETRA,EUR,Common Stock
NOT,Novartis AG,CH0012005267,Germany,XETRA,EUR,Common Stock
NOV_old,Novo Nordisk A/S,DK0062498333,Germany,XETRA,EUR,Common Stock
NOVA,Novo Nordisk A/S,US6701002056,Germany,XETRA,EUR,Common Stock
NSU,AUDI AG,DE0006757008,Germany,XETRA,EUR,Common Stock
NTA,Netapp Inc,US64110D1046,Germany,XETRA,EUR,Common Stock
NTH,Northrop Grumman Corporation,US6668071029,Germany,XETRA,EUR,Common Stock
NWO,New Work SE,DE000NWRK013,Germany,XETRA,EUR,Common Stock
NWX,Nordwest Handel AG,DE0006775505,Germany,XETRA,EUR,Common Stock
NXU,Nexus AG,DE0005220909,Germany,XETRA,EUR,Common Stock
NZM2,NZM2,DK0060336014,Germany,XETRA,EUR,Common Stock
O2C,Petro Welt Technologies AG,AT0000A00Y78,Germany,XETRA,EUR,Common Stock
O2D,Telefónica Deutschland Holding AG,DE000A1J5RX9,Germany,XETRA,EUR,Common Stock
O5H,OpenLimit Holding AG,CH0022237009,Germany,XETRA,EUR,Common Stock
ODP1,ODP Corp,US88337F1057,Germany,XETRA,EUR,Common Stock
OSP2,USU Software AG,DE000A0BVU28,Germany,XETRA,EUR,Common Stock
OSR,OSRAM Licht AG,DE000LED4000,Germany,XETRA,EUR,Common Stock
OTA,OboTech Acquisition SE,LU2334363566,Germany,XETRA,EUR,Common Stock
OUTA,Outokumpu Oyj,FI0009002422,Germany,XETRA,EUR,Common Stock
OYC,Delta Air Lines Inc.,US2473617023,Germany,XETRA,EUR,Common Stock
P4N,Polytec Holding Ag,AT0000A00XX9,Germany,XETRA,EUR,Common Stock
P7S,P7S,CH0018294154,Germany,XETRA,EUR,Common Stock
PA8,Paion AG,DE000A0B65S3,Germany,XETRA,EUR,Common Stock
PA9,Travelers Companies Inc.,US89417E1091,Germany,XETRA,EUR,Common Stock
