Local_ID,Name,Country,Sector,Bid,Ask
864840,POWER CORPORATION OF CDA,Canada,Banking & Finance,53.1600 €,53.4600 €
A1WZUH,"POWR SOL.INTL NEW DL-,001",,,35.1100 €,35.3300 €
694660,"PRINCIPAL FINL GRP DL-,01",USA,Insurance,96.0000 €,96.5000 €
A1JBD1,"PROLOGIS INC.      DL-,01",USA,Various services,128.5500 €,128.8000 €
923484,PROSPERITY BANCSHS   DL 1,USA,Banking & Finance,62.5000 €,63.0000 €
852069,PRUDENTIAL CORP.,Great Britain,Insurance,11.4150 €,11.5700 €
764959,PRUDENTIAL FINL,USA,Insurance,93.4400 €,93.8000 €
A0HMWM,PSI SOFTWARE SE NA ON.ZV.,,,43.6000 €,44.0000 €
852070,PUBL. SVC.ENTER.,USA,Energy & Water,68.7000 €,68.9800 €
982549,"PUBL.POWER GR.INH.EO 2,48",,,22.3400 €,22.5200 €
879189,QBE INSURANCE GROUP LTD.,,,14.7000 €,14.9000 €
